"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1836988854143684894","Fri Sep 20 23:59:35 +0000 2024","0","@DedynurPalakka Rakyat berharap Presiden Baru berpihak pada rakyat. Bukan pada Mulyono dan Krono nya. Sudah banyak kebohongan yg ditutupi dg kebohongan baru. Sejujurnya Perubahan di segala bidang memang wajib dilakukan...oleh Prabowo..","1837280476362592283","","DedynurPalakka","in","","0","0","0","https://x.com/HermanHabibi70/status/1837280476362592283","1537314103269548032","HermanHabibi70"
"1836914718516335098","Fri Sep 20 23:59:25 +0000 2024","1","@R4khm4t_M @mesheviksus2 @reltanahkusir @BudiBukanIntel Mereka bingung milih siapa apalagi Batak tuh. Mereka ga yakin sama pilihannya Prabowo yang mana koalisi ke RK. Sebenernya mereka pengen Ahok n dari dulu pas DKI 2017 allout mereka ke Ahok. Kalo tadinya Ahok main mereka gampang milihnya. Cuma mereka agak bingung aja gitu hehehe","1837280436764258585","","FelixSGL1","in","Jakarta","0","1","0","https://x.com/FelixSGL1/status/1837280436764258585","2862109627","FelixSGL1"
"1836606684401406155","Fri Sep 20 23:58:55 +0000 2024","0","@BosPurwa @prabowo Bapak jendral prabowo sekarang presiden terpilih !!! Jadi sudah punya inpres dan kepres !!!","1837280309643190716","","BosPurwa","in","","0","0","0","https://x.com/AnwarOjat/status/1837280309643190716","1630976361652424704","AnwarOjat"
"1837055126831518133","Fri Sep 20 23:58:53 +0000 2024","3","@NalarPolitik_ @rieke_diah Padahal kalau memang sedimen itu menimbulkan masalah di lalu lintas laut ... Sedimen itu bisa dipindah untuk revitalisasi pesisir Utara Pulau Jawa yg mengalami land subsidence ....atau daerah lain ... @prabowo @aniesbaswedan","1837280299383935245","","NalarPolitik_","in","Purwokerto","0","0","1","https://x.com/AzisAzissgrt/status/1837280299383935245","2500007743","AzisAzissgrt"
"1836918816015798337","Fri Sep 20 23:58:30 +0000 2024","0","@DokterTifa @prabowo Maaf dokter sebagai orang biasa saya malah takut kejiwaan anda. Mohon diperiksakan ya","1837280203544089077","","DokterTifa","in","","0","0","0","https://x.com/xadar215727/status/1837280203544089077","1804778658009370624","xadar215727"
"1837122037266931963","Fri Sep 20 23:57:55 +0000 2024","0","@konsuItan @jokowi @prabowo @BudiGSadikin @KemenkesRI Makin miris lihat negeri ini #IndustriTembakauBerkabung","1837280059985646038","","konsuItan","in","Indonesia","0","0","0","https://x.com/Arjun_na0/status/1837280059985646038","1740290469421342720","Arjun_na0"
"1836914718516335098","Fri Sep 20 23:57:55 +0000 2024","1","@R4khm4t_M @mesheviksus2 @reltanahkusir @BudiBukanIntel FYI aja nih ya FYI aja. Korelasi sama twitt diatas. Ane jadi inget ane baru aja ngobrol2 ama temen2 ane yang nonis. Mereka yang suku Manado Batak Flores yang Kristen lah rerata. Mereka ngaku bahwa waktu Pilpres banyakan milih Prabowo yang sblomnya Jokowi abis. Sekarang Pilgub","1837280059062898868","","FelixSGL1","in","Jakarta","0","1","0","https://x.com/FelixSGL1/status/1837280059062898868","2862109627","FelixSGL1"
"1836938864235270487","Fri Sep 20 23:57:48 +0000 2024","0","@Rudy5a3a1 @DedynurPalakka @psi_id @prabowo Pas dan tepat","1837280029539217682","","Rudy5a3a1","in","","0","0","0","https://x.com/TiurWahyuni/status/1837280029539217682","1364531709815918593","TiurWahyuni"
"1837122037266931963","Fri Sep 20 23:57:26 +0000 2024","0","@konsuItan @jokowi @prabowo @BudiGSadikin @KemenkesRI Buktinya mana klo rakyat tuh punya wakil? Wong ini aja #IndustriTembakauBerkabung","1837279938275352992","","konsuItan","in","Indonesia","0","0","0","https://x.com/Arjun_na0/status/1837279938275352992","1740290469421342720","Arjun_na0"
"1837214951066456485","Fri Sep 20 23:57:01 +0000 2024","0","@mas_veel @prabowo @gibran_tweet Cerita ini dipemerintahan siapa?sudah pasti bukan pemerintahan jokowi ya??","1837279830246838564","","mas_veel","in","","0","0","0","https://x.com/Muhamma90716489/status/1837279830246838564","1654502215707443200","Muhamma90716489"
